Name,Year,Producer
American Beauty,1999,Sam Mendes
Twin Falls Idaho,1999,Michael Polish
Mumford,1999,Lawrence Kasdan
Eyes Wide Shut,1999,Stanley Kubrick
Apt Pupil,1998,Bryan Singer
Shakespeare in Love,1998,John Madden
Cruel Intentions,1999,Roger Kumble
Gods and Monsters,1998,Bill Condon
American History X,1998,Tony Kaye
SLC Punk!,1998,James Merendino
The Red Violin,1998,François Girard
Buffalo '66,1998,Vincent Gallo
Any Given Sunday,1999,Oliver Stone
Magnolia,1999,Paul Thomas Anderson
The Truman Show,1998,Peter Weir
Holy Smoke!,1999,Jane Campion
Gia,1998,Michael Cristofer
Black and White,1999,James Toback
Rushmore,1998,Wes Anderson
Pleasantville,1998,Gary Ross
The Prince of Egypt,1998,"Brenda Chapman, Steve Hickner, Simon Wells"
Ghost Dog: The Way of the Samurai,1999,Jim Jarmusch
Can't Hardly Wait,1998,"Harry Elfont, Deborah Kaplan"
The Limey,1999,Steven Soderbergh
The Talented Mr. Ripley,1999,Anthony Minghella
Boys Don't Cry,1999,Kimberly Peirce
Babe: Pig in the City,1998,George Miller
Velvet Goldmine,1998,Todd Haynes
200 Cigarettes,1999,Risa Bramon Garcia
Music of the Heart,1999,Wes Craven
A Walk on the Moon,1999,Tony Goldwyn
Beloved,1998,Jonathan Demme
The Horse Whisperer,1998,Robert Redford
Twilight,1998,Robert Benton
Savior,1998,Predrag Antonijević
Guinevere,1999,"Audrey Wells, Paul Dooley"
Happiness,1998,Todd Solondz
Rounders,1998,John Dahl
The Green Mile,1999,Frank Darabont
Summer of Sam,1999,Spike Lee
The Opposite of Sex,1998,Don Roos
One True Thing,1998,Carl Franklin
Patch Adams,1998,Tom Shadyac
Liberty Heights,1999,Barry Levinson
Pushing Tin,1999,Mike Newell
High Art,1998,Lisa Cholodenko
Smoke Signals,1998,Chris Eyre
Slums of Beverly Hills,1998,Tamara Jenkins
Snake Eyes,1998,Brian De Palma
Stepmom,1998,Chris Columbus
He Got Game,1998,Spike Lee
Sliding Doors,1998,Peter Howitt
The Big Brass Ring,1999,George Hickenlooper
Payback,1999,Brian Helgeland
The Dream Catcher,1999,Edward Radtke
East of Hope Street,1998,Nate Thomas
Belly,1998,Hype Williams
Three Seasons,1999,Tony Bui
The Sterling Chase,1999,Tanya Fenmore
Message in a Bottle,1999,Luis Mandoki
The Siege,1998,Edward Zwick
Head On,1998,Ana Kokkinos
Blast from the Past,1999,Hugh Wilson
Simon Birch,1998,Mark Steven Johnson
Introducing Dorothy Dandridge,1999,Martha Coolidge
The Players Club,1998,Ice Cube
Jesus' Son,1999,Alison Maclean
At First Sight,1999,Irwin Winkler
Swept from the Sea,1998,Beeban Kidron
Fifteen and Pregnant,1998,Sam Pillsbury
Lulu on the Bridge,1998,Paul Auster
RKO 281,1999,Benjamin Ross
Brokedown Palace,1999,Jonathan Kaplan
Gideon,1999,Claudia Hoover
"Mystery, Alaska",1999,Jay Roach
Virtual Sexuality,1999,"Andre Adair, Nick Hurran"
Why Do Fools Fall in Love,1998,Gregory Nava
The Best Man,1999,Malcolm D. Lee
Black Dog,1998,Kevin Hooks
